Title,"HE student enrolment FTE by HE provider, level of study and academic year","","","","",""
Location,UK,"","","","",""
Academic years,2014/15 to 2020/21,"","","","",""
Data source,HESA,"","","","",""
Data collection,"051, 054","","","","",""
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-2,"","","","",""
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-2.csv,"","","","",""
Licence,Creative Commons Attribution 4.0 International Licence,"","","","",""
Code page,Unicode UTF-8,"","","","",""
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,"","","","",""
Table 2014/15 total,1902320,"","","","",""
Table 2015/16 total,1933915,"","","","",""
Table 2016/17 total,1985695,"","","","",""
Table 2017/18 total,2035365,"","","","",""
Table 2018/19 total,2076095,"","","","",""
Table 2019/20 total,2147900,"","","","",""
Table 2020/21 total,2286840,"","","","",""
"","","","","","",""
Last updated,February 22,"","","","",""
"","","","","","",""
UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Level of study,Number
10008071,AA School of Architecture,All,London,2015/16,Postgraduate (taught),0
10008071,AA School of Architecture,All,London,2015/16,First degree,465
10008071,AA School of Architecture,All,London,2015/16,Other undergraduate,0
10008071,AA School of Architecture,All,London,2015/16,Total,465
10008071,AA School of Architecture,All,All,2015/16,Postgraduate (research),0
10008071,AA School of Architecture,All,All,2015/16,Postgraduate (taught),0
10008071,AA School of Architecture,All,All,2015/16,First degree,465
10008071,AA School of Architecture,All,All,2015/16,Other undergraduate,0
10008071,AA School of Architecture,All,All,2015/16,Total,465
10008071,AA School of Architecture,England,All,2015/16,Postgraduate (research),0
10008071,AA School of Architecture,England,All,2015/16,Postgraduate (taught),0
10008071,AA School of Architecture,England,All,2015/16,First degree,465
10008071,AA School of Architecture,England,All,2015/16,Other undergraduate,0
10008071,AA School of Architecture,England,All,2015/16,Total,465
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,Postgraduate (research),825
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,Postgraduate (taught),2605
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,First degree,9100
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,Other undergraduate,160
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,Total,12685
10007783,The University of Aberdeen,All,Scotland,2020/21,Postgraduate (research),825
10007783,The University of Aberdeen,All,Scotland,2020/21,Postgraduate (taught),2605
10007783,The University of Aberdeen,All,Scotland,2020/21,First degree,9100
10007783,The University of Aberdeen,All,Scotland,2020/21,Other undergraduate,160
10007783,The University of Aberdeen,All,Scotland,2020/21,Total,12685
10007783,The University of Aberdeen,All,All,2020/21,Postgraduate (research),825
10007783,The University of Aberdeen,All,All,2020/21,Postgraduate (taught),2605
10007783,The University of Aberdeen,All,All,2020/21,First degree,9100
10007783,The University of Aberdeen,All,All,2020/21,Other undergraduate,160
10007783,The University of Aberdeen,All,All,2020/21,Total,12685
10007783,The University of Aberdeen,Scotland,All,2020/21,Postgraduate (research),825
10007783,The University of Aberdeen,Scotland,All,2020/21,Postgraduate (taught),2605
10007783,The University of Aberdeen,Scotland,All,2020/21,First degree,9100
10007783,The University of Aberdeen,Scotland,All,2020/21,Other undergraduate,160
10007783,The University of Aberdeen,Scotland,All,2020/21,Total,12685
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,Postgraduate (research),865
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,Postgraduate (taught),2590
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,First degree,9400
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,Other undergraduate,160
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,Total,13010
10007783,The University of Aberdeen,All,Scotland,2019/20,Postgraduate (research),865
10007783,The University of Aberdeen,All,Scotland,2019/20,Postgraduate (taught),2590
10007783,The University of Aberdeen,All,Scotland,2019/20,First degree,9400
10007783,The University of Aberdeen,All,Scotland,2019/20,Other undergraduate,160
10007783,The University of Aberdeen,All,Scotland,2019/20,Total,13010
10007783,The University of Aberdeen,All,All,2019/20,Postgraduate (research),865
10007783,The University of Aberdeen,All,All,2019/20,Postgraduate (taught),2590
10007783,The University of Aberdeen,All,All,2019/20,First degree,9400
10007783,The University of Aberdeen,All,All,2019/20,Other undergraduate,160
10007783,The University of Aberdeen,All,All,2019/20,Total,13010
10007783,The University of Aberdeen,Scotland,All,2019/20,Postgraduate (research),865
10007783,The University of Aberdeen,Scotland,All,2019/20,Postgraduate (taught),2590
10007783,The University of Aberdeen,Scotland,All,2019/20,First degree,9400
10007783,The University of Aberdeen,Scotland,All,2019/20,Other undergraduate,160
10007783,The University of Aberdeen,Scotland,All,2019/20,Total,13010
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,Postgraduate (research),905
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,Postgraduate (taught),2290
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,First degree,9595
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,Other undergraduate,120
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,Total,12910
10007783,The University of Aberdeen,All,Scotland,2018/19,Postgraduate (research),905
10007783,The University of Aberdeen,All,Scotland,2018/19,Postgraduate (taught),2290
10007783,The University of Aberdeen,All,Scotland,2018/19,First degree,9595
10007783,The University of Aberdeen,All,Scotland,2018/19,Other undergraduate,120
10007783,The University of Aberdeen,All,Scotland,2018/19,Total,12910
10007783,The University of Aberdeen,All,All,2018/19,Postgraduate (research),905
10007783,The University of Aberdeen,All,All,2018/19,Postgraduate (taught),2290
10007783,The University of Aberdeen,All,All,2018/19,First degree,9595
10007783,The University of Aberdeen,All,All,2018/19,Other undergraduate,120
10007783,The University of Aberdeen,All,All,2018/19,Total,12910
10007783,The University of Aberdeen,Scotland,All,2018/19,Postgraduate (research),905
10007783,The University of Aberdeen,Scotland,All,2018/19,Postgraduate (taught),2290
10007783,The University of Aberdeen,Scotland,All,2018/19,First degree,9595
10007783,The University of Aberdeen,Scotland,All,2018/19,Other undergraduate,120
10007783,The University of Aberdeen,Scotland,All,2018/19,Total,12910
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,Postgraduate (research),860
