Title,"HE student enrolment FTE by HE provider, level of study and academic year","","","","",""
Location,UK,"","","","",""
Academic years,2014/15 to 2020/21,"","","","",""
Data source,HESA,"","","","",""
Data collection,"051, 054","","","","",""
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-2,"","","","",""
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-2.csv,"","","","",""
Licence,Creative Commons Attribution 4.0 International Licence,"","","","",""
Code page,Unicode UTF-8,"","","","",""
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,"","","","",""
Table 2014/15 total,1902320,"","","","",""
Table 2015/16 total,1933915,"","","","",""
Table 2016/17 total,1985695,"","","","",""
Table 2017/18 total,2035365,"","","","",""
Table 2018/19 total,2076095,"","","","",""
Table 2019/20 total,2147900,"","","","",""
Table 2020/21 total,2286840,"","","","",""
"","","","","","",""
Last updated,February 22,"","","","",""
"","","","","","",""
UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Level of study,Number
10028216,Brit College,All,All,2020/21,Postgraduate (taught),0
10028216,Brit College,All,All,2020/21,First degree,0
10028216,Brit College,All,All,2020/21,Other undergraduate,5
10028216,Brit College,All,All,2020/21,Total,5
10028216,Brit College,England,All,2020/21,Postgraduate (research),0
10028216,Brit College,England,All,2020/21,Postgraduate (taught),0
10028216,Brit College,England,All,2020/21,First degree,0
10028216,Brit College,England,All,2020/21,Other undergraduate,5
10028216,Brit College,England,All,2020/21,Total,5
10028216,Brit College,England,London,2018/19,Postgraduate (research),0
10028216,Brit College,England,London,2018/19,Postgraduate (taught),0
10028216,Brit College,England,London,2018/19,First degree,0
10028216,Brit College,England,London,2018/19,Other undergraduate,520
10028216,Brit College,England,London,2018/19,Total,520
10028216,Brit College,All,London,2018/19,Postgraduate (research),0
10028216,Brit College,All,London,2018/19,Postgraduate (taught),0
10028216,Brit College,All,London,2018/19,First degree,0
10028216,Brit College,All,London,2018/19,Other undergraduate,520
10028216,Brit College,All,London,2018/19,Total,520
10028216,Brit College,All,All,2018/19,Postgraduate (research),0
10028216,Brit College,All,All,2018/19,Postgraduate (taught),0
10028216,Brit College,All,All,2018/19,First degree,0
10028216,Brit College,All,All,2018/19,Other undergraduate,520
10028216,Brit College,All,All,2018/19,Total,520
10028216,Brit College,England,All,2018/19,Postgraduate (research),0
10028216,Brit College,England,All,2018/19,Postgraduate (taught),0
10028216,Brit College,England,All,2018/19,First degree,0
10028216,Brit College,England,All,2018/19,Other undergraduate,520
10028216,Brit College,England,All,2018/19,Total,520
10028216,Brit College,England,London,2017/18,Postgraduate (research),0
10028216,Brit College,England,London,2017/18,Postgraduate (taught),0
10028216,Brit College,England,London,2017/18,First degree,0
10028216,Brit College,England,London,2017/18,Other undergraduate,590
10028216,Brit College,England,London,2017/18,Total,590
10028216,Brit College,All,London,2017/18,Postgraduate (research),0
10028216,Brit College,All,London,2017/18,Postgraduate (taught),0
10028216,Brit College,All,London,2017/18,First degree,0
10028216,Brit College,All,London,2017/18,Other undergraduate,590
10028216,Brit College,All,London,2017/18,Total,590
10028216,Brit College,All,All,2017/18,Postgraduate (research),0
10028216,Brit College,All,All,2017/18,Postgraduate (taught),0
10028216,Brit College,All,All,2017/18,First degree,0
10028216,Brit College,All,All,2017/18,Other undergraduate,590
10028216,Brit College,All,All,2017/18,Total,590
10028216,Brit College,England,All,2017/18,Postgraduate (research),0
10028216,Brit College,England,All,2017/18,Postgraduate (taught),0
10028216,Brit College,England,All,2017/18,First degree,0
10028216,Brit College,England,All,2017/18,Other undergraduate,590
10028216,Brit College,England,All,2017/18,Total,590
10028216,Brit College,England,London,2016/17,Postgraduate (research),0
10028216,Brit College,England,London,2016/17,Postgraduate (taught),0
10028216,Brit College,England,London,2016/17,First degree,0
10028216,Brit College,England,London,2016/17,Other undergraduate,620
10028216,Brit College,England,London,2016/17,Total,620
10028216,Brit College,All,London,2016/17,Postgraduate (research),0
10028216,Brit College,All,London,2016/17,Postgraduate (taught),0
10028216,Brit College,All,London,2016/17,First degree,0
10028216,Brit College,All,London,2016/17,Other undergraduate,620
10028216,Brit College,All,London,2016/17,Total,620
10028216,Brit College,All,All,2016/17,Postgraduate (research),0
10028216,Brit College,All,All,2016/17,Postgraduate (taught),0
10028216,Brit College,All,All,2016/17,First degree,0
10028216,Brit College,All,All,2016/17,Other undergraduate,620
10028216,Brit College,All,All,2016/17,Total,620
10028216,Brit College,England,All,2016/17,Postgraduate (research),0
10028216,Brit College,England,All,2016/17,Postgraduate (taught),0
10028216,Brit College,England,All,2016/17,First degree,0
10028216,Brit College,England,All,2016/17,Other undergraduate,620
10028216,Brit College,England,All,2016/17,Total,620
10028216,Brit College,England,London,2015/16,Postgraduate (research),0
10028216,Brit College,England,London,2015/16,Postgraduate (taught),0
10028216,Brit College,England,London,2015/16,First degree,0
10028216,Brit College,England,London,2015/16,Other undergraduate,525
10028216,Brit College,England,London,2015/16,Total,525
10028216,Brit College,All,London,2015/16,Postgraduate (research),0
10028216,Brit College,All,London,2015/16,Postgraduate (taught),0
10028216,Brit College,All,London,2015/16,First degree,0
10028216,Brit College,All,London,2015/16,Other undergraduate,525
10028216,Brit College,All,London,2015/16,Total,525
10028216,Brit College,All,All,2015/16,Postgraduate (research),0
10028216,Brit College,All,All,2015/16,Postgraduate (taught),0
10028216,Brit College,All,All,2015/16,First degree,0
10028216,Brit College,All,All,2015/16,Other undergraduate,525
10028216,Brit College,All,All,2015/16,Total,525
10028216,Brit College,England,All,2015/16,Postgraduate (research),0
10028216,Brit College,England,All,2015/16,Postgraduate (taught),0
10028216,Brit College,England,All,2015/16,First degree,0
10028216,Brit College,England,All,2015/16,Other undergraduate,525
10028216,Brit College,England,All,2015/16,Total,525
10028216,Brit College,England,London,2014/15,Postgraduate (research),0
10028216,Brit College,England,London,2014/15,Postgraduate (taught),0
10028216,Brit College,England,London,2014/15,First degree,0
10028216,Brit College,England,London,2014/15,Other undergraduate,385
10028216,Brit College,England,London,2014/15,Total,385
10028216,Brit College,All,London,2014/15,Postgraduate (research),0
10028216,Brit College,All,London,2014/15,Postgraduate (taught),0
10028216,Brit College,All,London,2014/15,First degree,0
10028216,Brit College,All,London,2014/15,Other undergraduate,385
10028216,Brit College,All,London,2014/15,Total,385
10028216,Brit College,All,All,2014/15,Postgraduate (research),0
10028216,Brit College,All,All,2014/15,Postgraduate (taught),0
10028216,Brit College,All,All,2014/15,First degree,0
10028216,Brit College,All,All,2014/15,Other undergraduate,385
10028216,Brit College,All,All,2014/15,Total,385
10028216,Brit College,England,All,2014/15,Postgraduate (research),0
10028216,Brit College,England,All,2014/15,Postgraduate (taught),0
10028216,Brit College,England,All,2014/15,First degree,0
10028216,Brit College,England,All,2014/15,Other undergraduate,385
10028216,Brit College,England,All,2014/15,Total,385
10023464,Trinity College Bristol,England,South West,2020/21,Postgraduate (research),5
10023464,Trinity College Bristol,England,South West,2020/21,Postgraduate (taught),20
10023464,Trinity College Bristol,England,South West,2020/21,First degree,45
10023464,Trinity College Bristol,England,South West,2020/21,Other undergraduate,60
10023464,Trinity College Bristol,England,South West,2020/21,Total,125
10023464,Trinity College Bristol,All,South West,2020/21,Postgraduate (research),5
10023464,Trinity College Bristol,All,South West,2020/21,Postgraduate (taught),20
10023464,Trinity College Bristol,All,South West,2020/21,First degree,45
10023464,Trinity College Bristol,All,South West,2020/21,Other undergraduate,60
10023464,Trinity College Bristol,All,South West,2020/21,Total,125
10023464,Trinity College Bristol,All,All,2020/21,Postgraduate (research),5
10023464,Trinity College Bristol,All,All,2020/21,Postgraduate (taught),20
10023464,Trinity College Bristol,All,All,2020/21,First degree,45
10023464,Trinity College Bristol,All,All,2020/21,Other undergraduate,60
10023464,Trinity College Bristol,All,All,2020/21,Total,125
10023464,Trinity College Bristol,England,All,2020/21,Postgraduate (research),5
10023464,Trinity College Bristol,England,All,2020/21,Postgraduate (taught),20
10023464,Trinity College Bristol,England,All,2020/21,First degree,45
10023464,Trinity College Bristol,England,All,2020/21,Other undergraduate,60
10023464,Trinity College Bristol,England,All,2020/21,Total,125
10023464,Trinity College Bristol,England,South West,2019/20,Postgraduate (research),5
10023464,Trinity College Bristol,England,South West,2019/20,Postgraduate (taught),25
10023464,Trinity College Bristol,England,South West,2019/20,First degree,45
10023464,Trinity College Bristol,England,South West,2019/20,Other undergraduate,50
10023464,Trinity College Bristol,England,South West,2019/20,Total,125
10023464,Trinity College Bristol,All,South West,2019/20,Postgraduate (research),5
10023464,Trinity College Bristol,All,South West,2019/20,Postgraduate (taught),25
10023464,Trinity College Bristol,All,South West,2019/20,First degree,45
10023464,Trinity College Bristol,All,South West,2019/20,Other undergraduate,50
10023464,Trinity College Bristol,All,South West,2019/20,Total,125
10023464,Trinity College Bristol,All,All,2019/20,Postgraduate (research),5
10023464,Trinity College Bristol,All,All,2019/20,Postgraduate (taught),25
10023464,Trinity College Bristol,All,All,2019/20,First degree,45
10023464,Trinity College Bristol,All,All,2019/20,Other undergraduate,50
10023464,Trinity College Bristol,All,All,2019/20,Total,125
10023464,Trinity College Bristol,England,All,2019/20,Postgraduate (research),5
10023464,Trinity College Bristol,England,All,2019/20,Postgraduate (taught),25
10023464,Trinity College Bristol,England,All,2019/20,First degree,45
10023464,Trinity College Bristol,England,All,2019/20,Other undergraduate,50
10023464,Trinity College Bristol,England,All,2019/20,Total,125
10023464,Trinity College Bristol,England,South West,2018/19,Postgraduate (research),10
10023464,Trinity College Bristol,England,South West,2018/19,Postgraduate (taught),30
10023464,Trinity College Bristol,England,South West,2018/19,First degree,40
10023464,Trinity College Bristol,England,South West,2018/19,Other undergraduate,60
10023464,Trinity College Bristol,England,South West,2018/19,Total,135
10023464,Trinity College Bristol,All,South West,2018/19,Postgraduate (research),10
10023464,Trinity College Bristol,All,South West,2018/19,Postgraduate (taught),30
10023464,Trinity College Bristol,All,South West,2018/19,First degree,40
10023464,Trinity College Bristol,All,South West,2018/19,Other undergraduate,60
10023464,Trinity College Bristol,All,South West,2018/19,Total,135
10023464,Trinity College Bristol,All,All,2018/19,Postgraduate (research),10
10023464,Trinity College Bristol,All,All,2018/19,Postgraduate (taught),30
10023464,Trinity College Bristol,All,All,2018/19,First degree,40
10023464,Trinity College Bristol,All,All,2018/19,Other undergraduate,60
10023464,Trinity College Bristol,All,All,2018/19,Total,135
10023464,Trinity College Bristol,England,All,2018/19,Postgraduate (research),10
10023464,Trinity College Bristol,England,All,2018/19,Postgraduate (taught),30
10023464,Trinity College Bristol,England,All,2018/19,First degree,40
10023464,Trinity College Bristol,England,All,2018/19,Other undergraduate,60
10023464,Trinity College Bristol,England,All,2018/19,Total,135
10023464,Trinity College Bristol,England,South West,2017/18,Postgraduate (research),5
10023464,Trinity College Bristol,England,South West,2017/18,Postgraduate (taught),25
10023464,Trinity College Bristol,England,South West,2017/18,First degree,45
10023464,Trinity College Bristol,England,South West,2017/18,Other undergraduate,65
10023464,Trinity College Bristol,England,South West,2017/18,Total,135
10023464,Trinity College Bristol,All,South West,2017/18,Postgraduate (research),5
10023464,Trinity College Bristol,All,South West,2017/18,Postgraduate (taught),25
10023464,Trinity College Bristol,All,South West,2017/18,First degree,45
10023464,Trinity College Bristol,All,South West,2017/18,Other undergraduate,65
10023464,Trinity College Bristol,All,South West,2017/18,Total,135
10023464,Trinity College Bristol,All,All,2017/18,Postgraduate (research),5
10023464,Trinity College Bristol,All,All,2017/18,Postgraduate (taught),25
10023464,Trinity College Bristol,All,All,2017/18,First degree,45
10023464,Trinity College Bristol,All,All,2017/18,Other undergraduate,65
10023464,Trinity College Bristol,All,All,2017/18,Total,135
10023464,Trinity College Bristol,England,All,2017/18,Postgraduate (research),5
10023464,Trinity College Bristol,England,All,2017/18,Postgraduate (taught),25
10023464,Trinity College Bristol,England,All,2017/18,First degree,45
10023464,Trinity College Bristol,England,All,2017/18,Other undergraduate,65
10023464,Trinity College Bristol,England,All,2017/18,Total,135
10023464,Trinity College Bristol,England,South West,2016/17,Postgraduate (research),0
10023464,Trinity College Bristol,England,South West,2016/17,Postgraduate (taught),0
10023464,Trinity College Bristol,England,South West,2016/17,First degree,35
10023464,Trinity College Bristol,England,South West,2016/17,Other undergraduate,60
10023464,Trinity College Bristol,England,South West,2016/17,Total,90
10023464,Trinity College Bristol,All,South West,2016/17,Postgraduate (research),0
10023464,Trinity College Bristol,All,South West,2016/17,Postgraduate (taught),0
10023464,Trinity College Bristol,All,South West,2016/17,First degree,35
10023464,Trinity College Bristol,All,South West,2016/17,Other undergraduate,60
10023464,Trinity College Bristol,All,South West,2016/17,Total,90
10023464,Trinity College Bristol,All,All,2016/17,Postgraduate (research),0
10023464,Trinity College Bristol,All,All,2016/17,Postgraduate (taught),0
10023464,Trinity College Bristol,All,All,2016/17,First degree,35
10023464,Trinity College Bristol,All,All,2016/17,Other undergraduate,60
10023464,Trinity College Bristol,All,All,2016/17,Total,90
10023464,Trinity College Bristol,England,All,2016/17,Postgraduate (research),0
10023464,Trinity College Bristol,England,All,2016/17,Postgraduate (taught),0
10023464,Trinity College Bristol,England,All,2016/17,First degree,35
10023464,Trinity College Bristol,England,All,2016/17,Other undergraduate,60
10023464,Trinity College Bristol,England,All,2016/17,Total,90
10023464,Trinity College Bristol,England,South West,2015/16,Postgraduate (research),0
10023464,Trinity College Bristol,England,South West,2015/16,Postgraduate (taught),0
10023464,Trinity College Bristol,England,South West,2015/16,First degree,25
10023464,Trinity College Bristol,England,South West,2015/16,Other undergraduate,35
10023464,Trinity College Bristol,England,South West,2015/16,Total,65
10023464,Trinity College Bristol,All,South West,2015/16,Postgraduate (research),0
10023464,Trinity College Bristol,All,South West,2015/16,Postgraduate (taught),0
10023464,Trinity College Bristol,All,South West,2015/16,First degree,25
10023464,Trinity College Bristol,All,South West,2015/16,Other undergraduate,35
10023464,Trinity College Bristol,All,South West,2015/16,Total,65
10023464,Trinity College Bristol,All,All,2015/16,Postgraduate (research),0
10023464,Trinity College Bristol,All,All,2015/16,Postgraduate (taught),0
10023464,Trinity College Bristol,All,All,2015/16,First degree,25
10023464,Trinity College Bristol,All,All,2015/16,Other undergraduate,35
10023464,Trinity College Bristol,All,All,2015/16,Total,65
10023464,Trinity College Bristol,England,All,2015/16,Postgraduate (research),0
10023464,Trinity College Bristol,England,All,2015/16,Postgraduate (taught),0
10023464,Trinity College Bristol,England,All,2015/16,First degree,25
10023464,Trinity College Bristol,England,All,2015/16,Other undergraduate,35
10023464,Trinity College Bristol,England,All,2015/16,Total,65
10000961,Brunel University London,England,London,2020/21,Postgraduate (research),555
10000961,Brunel University London,England,London,2020/21,Postgraduate (taught),3130
10000961,Brunel University London,England,London,2020/21,First degree,11455
10000961,Brunel University London,England,London,2020/21,Other undergraduate,15
10000961,Brunel University London,England,London,2020/21,Total,15160
10000961,Brunel University London,All,London,2020/21,Postgraduate (research),555
10000961,Brunel University London,All,London,2020/21,Postgraduate (taught),3130
10000961,Brunel University London,All,London,2020/21,First degree,11455
10000961,Brunel University London,All,London,2020/21,Other undergraduate,15
10000961,Brunel University London,All,London,2020/21,Total,15160
10000961,Brunel University London,All,All,2020/21,Postgraduate (research),555
10000961,Brunel University London,All,All,2020/21,Postgraduate (taught),3130
10000961,Brunel University London,All,All,2020/21,First degree,11455
10000961,Brunel University London,All,All,2020/21,Other undergraduate,15
10000961,Brunel University London,All,All,2020/21,Total,15160
10000961,Brunel University London,England,All,2020/21,Postgraduate (research),555
10000961,Brunel University London,England,All,2020/21,Postgraduate (taught),3130
10000961,Brunel University London,England,All,2020/21,First degree,11455
10000961,Brunel University London,England,All,2020/21,Other undergraduate,15
10000961,Brunel University London,England,All,2020/21,Total,15160
10000961,Brunel University London,England,London,2019/20,Postgraduate (research),500
10000961,Brunel University London,England,London,2019/20,Postgraduate (taught),2520
10000961,Brunel University London,England,London,2019/20,First degree,11140
10000961,Brunel University London,England,London,2019/20,Other undergraduate,25
10000961,Brunel University London,England,London,2019/20,Total,14185
10000961,Brunel University London,All,London,2019/20,Postgraduate (research),500
10000961,Brunel University London,All,London,2019/20,Postgraduate (taught),2520
10000961,Brunel University London,All,London,2019/20,First degree,11140
10000961,Brunel University London,All,London,2019/20,Other undergraduate,25
10000961,Brunel University London,All,London,2019/20,Total,14185
10000961,Brunel University London,All,All,2019/20,Postgraduate (research),500
10000961,Brunel University London,All,All,2019/20,Postgraduate (taught),2520
10000961,Brunel University London,All,All,2019/20,First degree,11140
10000961,Brunel University London,All,All,2019/20,Other undergraduate,25
10000961,Brunel University London,All,All,2019/20,Total,14185
10000961,Brunel University London,England,All,2019/20,Postgraduate (research),500
10000961,Brunel University London,England,All,2019/20,Postgraduate (taught),2520
10000961,Brunel University London,England,All,2019/20,First degree,11140
10000961,Brunel University London,England,All,2019/20,Other undergraduate,25
10000961,Brunel University London,England,All,2019/20,Total,14185
10000961,Brunel University London,England,London,2018/19,Postgraduate (research),475
10000961,Brunel University London,England,London,2018/19,Postgraduate (taught),2265
10000961,Brunel University London,England,London,2018/19,First degree,10710
10000961,Brunel University London,England,London,2018/19,Other undergraduate,35
10000961,Brunel University London,England,London,2018/19,Total,13490
10000961,Brunel University London,All,London,2018/19,Postgraduate (research),475
10000961,Brunel University London,All,London,2018/19,Postgraduate (taught),2265
10000961,Brunel University London,All,London,2018/19,First degree,10710
10000961,Brunel University London,All,London,2018/19,Other undergraduate,35
10000961,Brunel University London,All,London,2018/19,Total,13490
10000961,Brunel University London,All,All,2018/19,Postgraduate (research),475
10000961,Brunel University London,All,All,2018/19,Postgraduate (taught),2265
10000961,Brunel University London,All,All,2018/19,First degree,10710
10000961,Brunel University London,All,All,2018/19,Other undergraduate,35
10000961,Brunel University London,All,All,2018/19,Total,13490
10000961,Brunel University London,England,All,2018/19,Postgraduate (research),475
10000961,Brunel University London,England,All,2018/19,Postgraduate (taught),2265
10000961,Brunel University London,England,All,2018/19,First degree,10710
10000961,Brunel University London,England,All,2018/19,Other undergraduate,35
10000961,Brunel University London,England,All,2018/19,Total,13490
10000961,Brunel University London,England,London,2017/18,Postgraduate (research),420
10000961,Brunel University London,England,London,2017/18,Postgraduate (taught),2065
10000961,Brunel University London,England,London,2017/18,First degree,10090
10000961,Brunel University London,England,London,2017/18,Other undergraduate,35
10000961,Brunel University London,England,London,2017/18,Total,12610
10000961,Brunel University London,All,London,2017/18,Postgraduate (research),420
10000961,Brunel University London,All,London,2017/18,Postgraduate (taught),2065
10000961,Brunel University London,All,London,2017/18,First degree,10090
10000961,Brunel University London,All,London,2017/18,Other undergraduate,35
10000961,Brunel University London,All,London,2017/18,Total,12610
10000961,Brunel University London,All,All,2017/18,Postgraduate (research),420
10000961,Brunel University London,All,All,2017/18,Postgraduate (taught),2065
10000961,Brunel University London,All,All,2017/18,First degree,10090
10000961,Brunel University London,All,All,2017/18,Other undergraduate,35
10000961,Brunel University London,All,All,2017/18,Total,12610
10000961,Brunel University London,England,All,2017/18,Postgraduate (research),420
10000961,Brunel University London,England,All,2017/18,Postgraduate (taught),2065
10000961,Brunel University London,England,All,2017/18,First degree,10090
10000961,Brunel University London,England,All,2017/18,Other undergraduate,35
10000961,Brunel University London,England,All,2017/18,Total,12610
10000961,Brunel University London,England,London,2016/17,Postgraduate (research),450
10000961,Brunel University London,England,London,2016/17,Postgraduate (taught),1900
10000961,Brunel University London,England,London,2016/17,First degree,9505
10000961,Brunel University London,England,London,2016/17,Other undergraduate,35
10000961,Brunel University London,England,London,2016/17,Total,11890
10000961,Brunel University London,All,London,2016/17,Postgraduate (research),450
10000961,Brunel University London,All,London,2016/17,Postgraduate (taught),1900
10000961,Brunel University London,All,London,2016/17,First degree,9505
10000961,Brunel University London,All,London,2016/17,Other undergraduate,35
10000961,Brunel University London,All,London,2016/17,Total,11890
10000961,Brunel University London,All,All,2016/17,Postgraduate (research),450
10000961,Brunel University London,All,All,2016/17,Postgraduate (taught),1900
10000961,Brunel University London,All,All,2016/17,First degree,9505
10000961,Brunel University London,All,All,2016/17,Other undergraduate,35
10000961,Brunel University London,All,All,2016/17,Total,11890
10000961,Brunel University London,England,All,2016/17,Postgraduate (research),450
10000961,Brunel University London,England,All,2016/17,Postgraduate (taught),1900
10000961,Brunel University London,England,All,2016/17,First degree,9505
10000961,Brunel University London,England,All,2016/17,Other undergraduate,35
10000961,Brunel University London,England,All,2016/17,Total,11890
10000961,Brunel University London,England,London,2015/16,Postgraduate (research),550
10000961,Brunel University London,England,London,2015/16,Postgraduate (taught),1920
10000961,Brunel University London,England,London,2015/16,First degree,9325
10000961,Brunel University London,England,London,2015/16,Other undergraduate,5
10000961,Brunel University London,England,London,2015/16,Total,11800
10000961,Brunel University London,All,London,2015/16,Postgraduate (research),550
10000961,Brunel University London,All,London,2015/16,Postgraduate (taught),1920
10000961,Brunel University London,All,London,2015/16,First degree,9325
10000961,Brunel University London,All,London,2015/16,Other undergraduate,5
10000961,Brunel University London,All,London,2015/16,Total,11800
10000961,Brunel University London,All,All,2015/16,Postgraduate (research),550
10000961,Brunel University London,All,All,2015/16,Postgraduate (taught),1920
10000961,Brunel University London,All,All,2015/16,First degree,9325
10000961,Brunel University London,All,All,2015/16,Other undergraduate,5
10000961,Brunel University London,All,All,2015/16,Total,11800
10000961,Brunel University London,England,All,2015/16,Postgraduate (research),550
10000961,Brunel University London,England,All,2015/16,Postgraduate (taught),1920
10000961,Brunel University London,England,All,2015/16,First degree,9325
10000961,Brunel University London,England,All,2015/16,Other undergraduate,5
10000961,Brunel University London,England,All,2015/16,Total,11800
10000961,Brunel University London,England,London,2014/15,Postgraduate (research),715
10000961,Brunel University London,England,London,2014/15,Postgraduate (taught),2185
10000961,Brunel University London,England,London,2014/15,First degree,9250
10000961,Brunel University London,England,London,2014/15,Other undergraduate,15
10000961,Brunel University London,England,London,2014/15,Total,12165
10000961,Brunel University London,All,London,2014/15,Postgraduate (research),715
10000961,Brunel University London,All,London,2014/15,Postgraduate (taught),2185
10000961,Brunel University London,All,London,2014/15,First degree,9250
10000961,Brunel University London,All,London,2014/15,Other undergraduate,15
10000961,Brunel University London,All,London,2014/15,Total,12165
10000961,Brunel University London,All,All,2014/15,Postgraduate (research),715
10000961,Brunel University London,All,All,2014/15,Postgraduate (taught),2185
10000961,Brunel University London,All,All,2014/15,First degree,9250
10000961,Brunel University London,All,All,2014/15,Other undergraduate,15
10000961,Brunel University London,All,All,2014/15,Total,12165
10000961,Brunel University London,England,All,2014/15,Postgraduate (research),715
10000961,Brunel University London,England,All,2014/15,Postgraduate (taught),2185
10000961,Brunel University London,England,All,2014/15,First degree,9250
10000961,Brunel University London,England,All,2014/15,Other undergraduate,15
10000961,Brunel University London,England,All,2014/15,Total,12165
10000975,Buckinghamshire New University,England,South East,2020/21,Postgraduate (research),15
10000975,Buckinghamshire New University,England,South East,2020/21,Postgraduate (taught),730
10000975,Buckinghamshire New University,England,South East,2020/21,First degree,14495
10000975,Buckinghamshire New University,England,South East,2020/21,Other undergraduate,620
10000975,Buckinghamshire New University,England,South East,2020/21,Total,15860
10000975,Buckinghamshire New University,All,South East,2020/21,Postgraduate (research),15
10000975,Buckinghamshire New University,All,South East,2020/21,Postgraduate (taught),730
10000975,Buckinghamshire New University,All,South East,2020/21,First degree,14495
10000975,Buckinghamshire New University,All,South East,2020/21,Other undergraduate,620
10000975,Buckinghamshire New University,All,South East,2020/21,Total,15860
10000975,Buckinghamshire New University,All,All,2020/21,Postgraduate (research),15
10000975,Buckinghamshire New University,All,All,2020/21,Postgraduate (taught),730
10000975,Buckinghamshire New University,All,All,2020/21,First degree,14495
10000975,Buckinghamshire New University,All,All,2020/21,Other undergraduate,620
10000975,Buckinghamshire New University,All,All,2020/21,Total,15860
10000975,Buckinghamshire New University,England,All,2020/21,Postgraduate (research),15
10000975,Buckinghamshire New University,England,All,2020/21,Postgraduate (taught),730
10000975,Buckinghamshire New University,England,All,2020/21,First degree,14495
10000975,Buckinghamshire New University,England,All,2020/21,Other undergraduate,620
10000975,Buckinghamshire New University,England,All,2020/21,Total,15860
10000975,Buckinghamshire New University,England,South East,2019/20,Postgraduate (research),15
10000975,Buckinghamshire New University,England,South East,2019/20,Postgraduate (taught),625
10000975,Buckinghamshire New University,England,South East,2019/20,First degree,10680
10000975,Buckinghamshire New University,England,South East,2019/20,Other undergraduate,630
10000975,Buckinghamshire New University,England,South East,2019/20,Total,11950
10000975,Buckinghamshire New University,All,South East,2019/20,Postgraduate (research),15
10000975,Buckinghamshire New University,All,South East,2019/20,Postgraduate (taught),625
10000975,Buckinghamshire New University,All,South East,2019/20,First degree,10680
10000975,Buckinghamshire New University,All,South East,2019/20,Other undergraduate,630
10000975,Buckinghamshire New University,All,South East,2019/20,Total,11950
10000975,Buckinghamshire New University,All,All,2019/20,Postgraduate (research),15
10000975,Buckinghamshire New University,All,All,2019/20,Postgraduate (taught),625
10000975,Buckinghamshire New University,All,All,2019/20,First degree,10680
10000975,Buckinghamshire New University,All,All,2019/20,Other undergraduate,630
10000975,Buckinghamshire New University,All,All,2019/20,Total,11950
10000975,Buckinghamshire New University,England,All,2019/20,Postgraduate (research),15
10000975,Buckinghamshire New University,England,All,2019/20,Postgraduate (taught),625
10000975,Buckinghamshire New University,England,All,2019/20,First degree,10680
10000975,Buckinghamshire New University,England,All,2019/20,Other undergraduate,630
10000975,Buckinghamshire New University,England,All,2019/20,Total,11950
10000975,Buckinghamshire New University,England,South East,2018/19,Postgraduate (research),15
10000975,Buckinghamshire New University,England,South East,2018/19,Postgraduate (taught),595
10000975,Buckinghamshire New University,England,South East,2018/19,First degree,7210
10000975,Buckinghamshire New University,England,South East,2018/19,Other undergraduate,650
10000975,Buckinghamshire New University,England,South East,2018/19,Total,8470
10000975,Buckinghamshire New University,All,South East,2018/19,Postgraduate (research),15
10000975,Buckinghamshire New University,All,South East,2018/19,Postgraduate (taught),595
10000975,Buckinghamshire New University,All,South East,2018/19,First degree,7210
10000975,Buckinghamshire New University,All,South East,2018/19,Other undergraduate,650
10000975,Buckinghamshire New University,All,South East,2018/19,Total,8470
10000975,Buckinghamshire New University,All,All,2018/19,Postgraduate (research),15
10000975,Buckinghamshire New University,All,All,2018/19,Postgraduate (taught),595
10000975,Buckinghamshire New University,All,All,2018/19,First degree,7210
10000975,Buckinghamshire New University,All,All,2018/19,Other undergraduate,650
10000975,Buckinghamshire New University,All,All,2018/19,Total,8470
10000975,Buckinghamshire New University,England,All,2018/19,Postgraduate (research),15
10000975,Buckinghamshire New University,England,All,2018/19,Postgraduate (taught),595
10000975,Buckinghamshire New University,England,All,2018/19,First degree,7210
10000975,Buckinghamshire New University,England,All,2018/19,Other undergraduate,650
10000975,Buckinghamshire New University,England,All,2018/19,Total,8470
10000975,Buckinghamshire New University,England,South East,2017/18,Postgraduate (research),15
10000975,Buckinghamshire New University,England,South East,2017/18,Postgraduate (taught),355
10000975,Buckinghamshire New University,England,South East,2017/18,First degree,6245
10000975,Buckinghamshire New University,England,South East,2017/18,Other undergraduate,665
10000975,Buckinghamshire New University,England,South East,2017/18,Total,7285
10000975,Buckinghamshire New University,All,South East,2017/18,Postgraduate (research),15
10000975,Buckinghamshire New University,All,South East,2017/18,Postgraduate (taught),355
10000975,Buckinghamshire New University,All,South East,2017/18,First degree,6245
10000975,Buckinghamshire New University,All,South East,2017/18,Other undergraduate,665
10000975,Buckinghamshire New University,All,South East,2017/18,Total,7285
10000975,Buckinghamshire New University,All,All,2017/18,Postgraduate (research),15
10000975,Buckinghamshire New University,All,All,2017/18,Postgraduate (taught),355
10000975,Buckinghamshire New University,All,All,2017/18,First degree,6245
10000975,Buckinghamshire New University,All,All,2017/18,Other undergraduate,665
10000975,Buckinghamshire New University,All,All,2017/18,Total,7285
10000975,Buckinghamshire New University,England,All,2017/18,Postgraduate (research),15
