UKPRN,HE provider,Academic Year,Level of study,Number
10007856.0,Aberystwyth University,2017/18,Postgraduate (research),300
10007856.0,Aberystwyth University,2017/18,Postgraduate (taught),450
10007856.0,Aberystwyth University,2017/18,First degree,5830
10007856.0,Aberystwyth University,2017/18,Other undergraduate,220
10007856.0,Aberystwyth University,2016/17,Postgraduate (research),315
10007856.0,Aberystwyth University,2016/17,Postgraduate (taught),410
10007856.0,Aberystwyth University,2016/17,First degree,5920
10007856.0,Aberystwyth University,2016/17,Other undergraduate,225
10007856.0,Aberystwyth University,2015/16,Postgraduate (research),325
10007856.0,Aberystwyth University,2015/16,Postgraduate (taught),385
10007856.0,Aberystwyth University,2015/16,First degree,6210
10007856.0,Aberystwyth University,2015/16,Other undergraduate,260
10007856.0,Aberystwyth University,2014/15,Postgraduate (research),345
10007856.0,Aberystwyth University,2014/15,Postgraduate (taught),545
10007856.0,Aberystwyth University,2014/15,First degree,6770
10007856.0,Aberystwyth University,2014/15,Other undergraduate,320
10000080.0,Access to Music Limited,2018/19,Postgraduate (research),0
10000080.0,Access to Music Limited,2018/19,Postgraduate (taught),0
10000080.0,Access to Music Limited,2018/19,First degree,30
10000080.0,Access to Music Limited,2018/19,Other undergraduate,0
10000080.0,Access to Music Limited,2017/18,Postgraduate (research),0
10000080.0,Access to Music Limited,2017/18,Postgraduate (taught),0
10000080.0,Access to Music Limited,2017/18,First degree,65
10000080.0,Access to Music Limited,2017/18,Other undergraduate,0
10000080.0,Access to Music Limited,2016/17,Postgraduate (research),0
10000080.0,Access to Music Limited,2016/17,Postgraduate (taught),0
10000080.0,Access to Music Limited,2016/17,First degree,80
10000080.0,Access to Music Limited,2016/17,Other undergraduate,0
10000080.0,Access to Music Limited,2015/16,Postgraduate (research),0
10000080.0,Access to Music Limited,2015/16,Postgraduate (taught),0
10000080.0,Access to Music Limited,2015/16,First degree,105
10000080.0,Access to Music Limited,2015/16,Other undergraduate,0
10000080.0,Access to Music Limited,2014/15,Postgraduate (research),0
10000080.0,Access to Music Limited,2014/15,Postgraduate (taught),0
10000080.0,Access to Music Limited,2014/15,First degree,90
10000080.0,Access to Music Limited,2014/15,Other undergraduate,0
10067853.0,ACM Guildford Limited,2020/21,Postgraduate (research),0
10067853.0,ACM Guildford Limited,2020/21,Postgraduate (taught),0
10067853.0,ACM Guildford Limited,2020/21,First degree,1485
10067853.0,ACM Guildford Limited,2020/21,Other undergraduate,0
10067853.0,ACM Guildford Limited,2019/20,Postgraduate (research),0
10067853.0,ACM Guildford Limited,2019/20,Postgraduate (taught),0
10067853.0,ACM Guildford Limited,2019/20,First degree,1520
10067853.0,ACM Guildford Limited,2019/20,Other undergraduate,0
10067853.0,ACM Guildford Limited,2018/19,Postgraduate (research),0
10067853.0,ACM Guildford Limited,2018/19,Postgraduate (taught),0
10067853.0,ACM Guildford Limited,2018/19,First degree,1650
10067853.0,ACM Guildford Limited,2018/19,Other undergraduate,0
10000248.0,Academy of Live and Recorded Arts,2020/21,Postgraduate (research),0
10000248.0,Academy of Live and Recorded Arts,2020/21,Postgraduate (taught),50
10000248.0,Academy of Live and Recorded Arts,2020/21,First degree,195
10000248.0,Academy of Live and Recorded Arts,2020/21,Other undergraduate,0
10000248.0,Academy of Live and Recorded Arts,2019/20,Postgraduate (research),0
10000248.0,Academy of Live and Recorded Arts,2019/20,Postgraduate (taught),50
10000248.0,Academy of Live and Recorded Arts,2019/20,First degree,190
10000248.0,Academy of Live and Recorded Arts,2019/20,Other undergraduate,0
10000248.0,Academy of Live and Recorded Arts,2018/19,Postgraduate (research),0
10000248.0,Academy of Live and Recorded Arts,2018/19,Postgraduate (taught),50
10000248.0,Academy of Live and Recorded Arts,2018/19,First degree,180
10000248.0,Academy of Live and Recorded Arts,2018/19,Other undergraduate,0
10000248.0,Academy of Live and Recorded Arts,2017/18,Postgraduate (research),0
10000248.0,Academy of Live and Recorded Arts,2017/18,Postgraduate (taught),45
10000248.0,Academy of Live and Recorded Arts,2017/18,First degree,180
10000248.0,Academy of Live and Recorded Arts,2017/18,Other undergraduate,0
10000248.0,Academy of Live and Recorded Arts,2016/17,Postgraduate (research),0
10000248.0,Academy of Live and Recorded Arts,2016/17,Postgraduate (taught),0
10000248.0,Academy of Live and Recorded Arts,2016/17,First degree,175
10000248.0,Academy of Live and Recorded Arts,2016/17,Other undergraduate,5
10000248.0,Academy of Live and Recorded Arts,2015/16,Postgraduate (research),0
10000248.0,Academy of Live and Recorded Arts,2015/16,Postgraduate (taught),0
10000248.0,Academy of Live and Recorded Arts,2015/16,First degree,175
10000248.0,Academy of Live and Recorded Arts,2015/16,Other undergraduate,10
10000248.0,Academy of Live and Recorded Arts,2014/15,Postgraduate (research),0
10000248.0,Academy of Live and Recorded Arts,2014/15,Postgraduate (taught),0
10000248.0,Academy of Live and Recorded Arts,2014/15,First degree,180
10000248.0,Academy of Live and Recorded Arts,2014/15,Other undergraduate,15
10000163.0,AECC University College,2020/21,Postgraduate (research),0
10000163.0,AECC University College,2020/21,Postgraduate (taught),85
10000163.0,AECC University College,2020/21,First degree,695
