UKPRN,HE provider,Academic Year,Level of study,Number
10007786.0,The University of Bristol,2017/18,Postgraduate (research),1905
10007786.0,The University of Bristol,2017/18,Postgraduate (taught),3505
10007786.0,The University of Bristol,2017/18,First degree,17685
10007786.0,The University of Bristol,2017/18,Other undergraduate,45
10007786.0,The University of Bristol,2016/17,Postgraduate (research),1925
10007786.0,The University of Bristol,2016/17,Postgraduate (taught),2930
10007786.0,The University of Bristol,2016/17,First degree,17020
10007786.0,The University of Bristol,2016/17,Other undergraduate,30
10007786.0,The University of Bristol,2015/16,Postgraduate (research),2025
10007786.0,The University of Bristol,2015/16,Postgraduate (taught),2385
10007786.0,The University of Bristol,2015/16,First degree,16220
10007786.0,The University of Bristol,2015/16,Other undergraduate,35
10007786.0,The University of Bristol,2014/15,Postgraduate (research),1915
10007786.0,The University of Bristol,2014/15,Postgraduate (taught),2600
10007786.0,The University of Bristol,2014/15,First degree,15455
10007786.0,The University of Bristol,2014/15,Other undergraduate,45
10028216.0,Brit College,2020/21,Postgraduate (research),0
10028216.0,Brit College,2020/21,Postgraduate (taught),0
10028216.0,Brit College,2020/21,First degree,0
10028216.0,Brit College,2020/21,Other undergraduate,5
10028216.0,Brit College,2018/19,Postgraduate (research),0
10028216.0,Brit College,2018/19,Postgraduate (taught),0
10028216.0,Brit College,2018/19,First degree,0
10028216.0,Brit College,2018/19,Other undergraduate,520
10028216.0,Brit College,2017/18,Postgraduate (research),0
10028216.0,Brit College,2017/18,Postgraduate (taught),0
10028216.0,Brit College,2017/18,First degree,0
10028216.0,Brit College,2017/18,Other undergraduate,590
10028216.0,Brit College,2016/17,Postgraduate (research),0
10028216.0,Brit College,2016/17,Postgraduate (taught),0
10028216.0,Brit College,2016/17,First degree,0
10028216.0,Brit College,2016/17,Other undergraduate,620
10028216.0,Brit College,2015/16,Postgraduate (research),0
10028216.0,Brit College,2015/16,Postgraduate (taught),0
10028216.0,Brit College,2015/16,First degree,0
10028216.0,Brit College,2015/16,Other undergraduate,525
10028216.0,Brit College,2014/15,Postgraduate (research),0
10028216.0,Brit College,2014/15,Postgraduate (taught),0
10028216.0,Brit College,2014/15,First degree,0
10028216.0,Brit College,2014/15,Other undergraduate,385
10023464.0,Trinity College Bristol,2020/21,Postgraduate (research),5
10023464.0,Trinity College Bristol,2020/21,Postgraduate (taught),20
10023464.0,Trinity College Bristol,2020/21,First degree,45
10023464.0,Trinity College Bristol,2020/21,Other undergraduate,60
10023464.0,Trinity College Bristol,2019/20,Postgraduate (research),5
10023464.0,Trinity College Bristol,2019/20,Postgraduate (taught),25
10023464.0,Trinity College Bristol,2019/20,First degree,45
10023464.0,Trinity College Bristol,2019/20,Other undergraduate,50
10023464.0,Trinity College Bristol,2018/19,Postgraduate (research),10
10023464.0,Trinity College Bristol,2018/19,Postgraduate (taught),30
10023464.0,Trinity College Bristol,2018/19,First degree,40
10023464.0,Trinity College Bristol,2018/19,Other undergraduate,60
10023464.0,Trinity College Bristol,2017/18,Postgraduate (research),5
10023464.0,Trinity College Bristol,2017/18,Postgraduate (taught),25
10023464.0,Trinity College Bristol,2017/18,First degree,45
10023464.0,Trinity College Bristol,2017/18,Other undergraduate,65
10023464.0,Trinity College Bristol,2016/17,Postgraduate (research),0
10023464.0,Trinity College Bristol,2016/17,Postgraduate (taught),0
10023464.0,Trinity College Bristol,2016/17,First degree,35
10023464.0,Trinity College Bristol,2016/17,Other undergraduate,60
10023464.0,Trinity College Bristol,2015/16,Postgraduate (research),0
10023464.0,Trinity College Bristol,2015/16,Postgraduate (taught),0
10023464.0,Trinity College Bristol,2015/16,First degree,25
10023464.0,Trinity College Bristol,2015/16,Other undergraduate,35
10000961.0,Brunel University London,2020/21,Postgraduate (research),555
10000961.0,Brunel University London,2020/21,Postgraduate (taught),3130
10000961.0,Brunel University London,2020/21,First degree,11455
10000961.0,Brunel University London,2020/21,Other undergraduate,15
10000961.0,Brunel University London,2019/20,Postgraduate (research),500
10000961.0,Brunel University London,2019/20,Postgraduate (taught),2520
10000961.0,Brunel University London,2019/20,First degree,11140
10000961.0,Brunel University London,2019/20,Other undergraduate,25
10000961.0,Brunel University London,2018/19,Postgraduate (research),475
10000961.0,Brunel University London,2018/19,Postgraduate (taught),2265
10000961.0,Brunel University London,2018/19,First degree,10710
10000961.0,Brunel University London,2018/19,Other undergraduate,35
10000961.0,Brunel University London,2017/18,Postgraduate (research),420
10000961.0,Brunel University London,2017/18,Postgraduate (taught),2065
10000961.0,Brunel University London,2017/18,First degree,10090
10000961.0,Brunel University London,2017/18,Other undergraduate,35
10000961.0,Brunel University London,2016/17,Postgraduate (research),450
10000961.0,Brunel University London,2016/17,Postgraduate (taught),1900
10000961.0,Brunel University London,2016/17,First degree,9505
10000961.0,Brunel University London,2016/17,Other undergraduate,35
10000961.0,Brunel University London,2015/16,Postgraduate (research),550
10000961.0,Brunel University London,2015/16,Postgraduate (taught),1920
10000961.0,Brunel University London,2015/16,First degree,9325
10000961.0,Brunel University London,2015/16,Other undergraduate,5
10000961.0,Brunel University London,2014/15,Postgraduate (research),715
10000961.0,Brunel University London,2014/15,Postgraduate (taught),2185
10000961.0,Brunel University London,2014/15,First degree,9250
10000961.0,Brunel University London,2014/15,Other undergraduate,15
10000975.0,Buckinghamshire New University,2020/21,Postgraduate (research),15
10000975.0,Buckinghamshire New University,2020/21,Postgraduate (taught),730
10000975.0,Buckinghamshire New University,2020/21,First degree,14495
10000975.0,Buckinghamshire New University,2020/21,Other undergraduate,620
10000975.0,Buckinghamshire New University,2019/20,Postgraduate (research),15
10000975.0,Buckinghamshire New University,2019/20,Postgraduate (taught),625
10000975.0,Buckinghamshire New University,2019/20,First degree,10680
10000975.0,Buckinghamshire New University,2019/20,Other undergraduate,630
10000975.0,Buckinghamshire New University,2018/19,Postgraduate (research),15
10000975.0,Buckinghamshire New University,2018/19,Postgraduate (taught),595
10000975.0,Buckinghamshire New University,2018/19,First degree,7210
10000975.0,Buckinghamshire New University,2018/19,Other undergraduate,650
10000975.0,Buckinghamshire New University,2017/18,Postgraduate (research),15
10000975.0,Buckinghamshire New University,2017/18,Postgraduate (taught),355
10000975.0,Buckinghamshire New University,2017/18,First degree,6245
10000975.0,Buckinghamshire New University,2017/18,Other undergraduate,665
10000975.0,Buckinghamshire New University,2016/17,Postgraduate (research),25
10000975.0,Buckinghamshire New University,2016/17,Postgraduate (taught),365
10000975.0,Buckinghamshire New University,2016/17,First degree,5860
10000975.0,Buckinghamshire New University,2016/17,Other undergraduate,775
10000975.0,Buckinghamshire New University,2015/16,Postgraduate (research),30
10000975.0,Buckinghamshire New University,2015/16,Postgraduate (taught),400
10000975.0,Buckinghamshire New University,2015/16,First degree,5710
10000975.0,Buckinghamshire New University,2015/16,Other undergraduate,865
10000975.0,Buckinghamshire New University,2014/15,Postgraduate (research),30
10000975.0,Buckinghamshire New University,2014/15,Postgraduate (taught),435
10000975.0,Buckinghamshire New University,2014/15,First degree,5595
10000975.0,Buckinghamshire New University,2014/15,Other undergraduate,1150
10007787.0,The University of Buckingham,2020/21,Postgraduate (research),190
10007787.0,The University of Buckingham,2020/21,Postgraduate (taught),1070
10007787.0,The University of Buckingham,2020/21,First degree,1775
10007787.0,The University of Buckingham,2020/21,Other undergraduate,20
10007787.0,The University of Buckingham,2019/20,Postgraduate (research),175
10007787.0,The University of Buckingham,2019/20,Postgraduate (taught),930
10007787.0,The University of Buckingham,2019/20,First degree,1975
10007787.0,The University of Buckingham,2019/20,Other undergraduate,20
10007787.0,The University of Buckingham,2018/19,Postgraduate (research),175
10007787.0,The University of Buckingham,2018/19,Postgraduate (taught),1035
10007787.0,The University of Buckingham,2018/19,First degree,1320
10007787.0,The University of Buckingham,2018/19,Other undergraduate,0
10007787.0,The University of Buckingham,2017/18,Postgraduate (research),170
10007787.0,The University of Buckingham,2017/18,Postgraduate (taught),1035
10007787.0,The University of Buckingham,2017/18,First degree,1220
10007787.0,The University of Buckingham,2017/18,Other undergraduate,0
10007787.0,The University of Buckingham,2016/17,Postgraduate (research),175
10007787.0,The University of Buckingham,2016/17,Postgraduate (taught),475
10007787.0,The University of Buckingham,2016/17,First degree,1100
10007787.0,The University of Buckingham,2016/17,Other undergraduate,0
10007787.0,The University of Buckingham,2015/16,Postgraduate (research),155
10007787.0,The University of Buckingham,2015/16,Postgraduate (taught),460
10007787.0,The University of Buckingham,2015/16,First degree,945
10007787.0,The University of Buckingham,2015/16,Other undergraduate,0
10007787.0,The University of Buckingham,2014/15,Postgraduate (research),140
10007787.0,The University of Buckingham,2014/15,Postgraduate (taught),470
10007787.0,The University of Buckingham,2014/15,First degree,940
10007787.0,The University of Buckingham,2014/15,Other undergraduate,0
10022021.0,UK College of Business and Computing,2019/20,Postgraduate (research),0
10022021.0,UK College of Business and Computing,2019/20,Postgraduate (taught),0
10022021.0,UK College of Business and Computing,2019/20,First degree,170
10022021.0,UK College of Business and Computing,2019/20,Other undergraduate,5
10022021.0,UK College of Business and Computing,2018/19,Postgraduate (research),0
10022021.0,UK College of Business and Computing,2018/19,Postgraduate (taught),0
10022021.0,UK College of Business and Computing,2018/19,First degree,390
10022021.0,UK College of Business and Computing,2018/19,Other undergraduate,270
10022021.0,UK College of Business and Computing,2017/18,Postgraduate (research),0
10022021.0,UK College of Business and Computing,2017/18,Postgraduate (taught),0
10022021.0,UK College of Business and Computing,2017/18,First degree,115
10022021.0,UK College of Business and Computing,2017/18,Other undergraduate,630
10022021.0,UK College of Business and Computing,2016/17,Postgraduate (research),0
10022021.0,UK College of Business and Computing,2016/17,Postgraduate (taught),0
10022021.0,UK College of Business and Computing,2016/17,First degree,0
10022021.0,UK College of Business and Computing,2016/17,Other undergraduate,840
10022021.0,UK College of Business and Computing,2015/16,Postgraduate (research),0
10022021.0,UK College of Business and Computing,2015/16,Postgraduate (taught),0
10022021.0,UK College of Business and Computing,2015/16,First degree,0
10022021.0,UK College of Business and Computing,2015/16,Other undergraduate,990
10022021.0,UK College of Business and Computing,2014/15,Postgraduate (research),0
10022021.0,UK College of Business and Computing,2014/15,Postgraduate (taught),0
10022021.0,UK College of Business and Computing,2014/15,First degree,0
10022021.0,UK College of Business and Computing,2014/15,Other undergraduate,1325
10041974.0,London College of Business Sciences,2017/18,Postgraduate (research),0
10041974.0,London College of Business Sciences,2017/18,Postgraduate (taught),0
10041974.0,London College of Business Sciences,2017/18,First degree,0
10041974.0,London College of Business Sciences,2017/18,Other undergraduate,65
10041974.0,London College of Business Sciences,2016/17,Postgraduate (research),0
10041974.0,London College of Business Sciences,2016/17,Postgraduate (taught),0
10041974.0,London College of Business Sciences,2016/17,First degree,0
10041974.0,London College of Business Sciences,2016/17,Other undergraduate,65
10041974.0,London College of Business Sciences,2015/16,Postgraduate (research),0
10041974.0,London College of Business Sciences,2015/16,Postgraduate (taught),0
10041974.0,London College of Business Sciences,2015/16,First degree,0
10041974.0,London College of Business Sciences,2015/16,Other undergraduate,15
10019368.0,London College of Business Studies,2020/21,Postgraduate (research),0
10019368.0,London College of Business Studies,2020/21,Postgraduate (taught),0
10019368.0,London College of Business Studies,2020/21,First degree,0
10019368.0,London College of Business Studies,2020/21,Other undergraduate,20
10019368.0,London College of Business Studies,2019/20,Postgraduate (research),0
10019368.0,London College of Business Studies,2019/20,Postgraduate (taught),0
10019368.0,London College of Business Studies,2019/20,First degree,0
10019368.0,London College of Business Studies,2019/20,Other undergraduate,80
10019368.0,London College of Business Studies,2018/19,Postgraduate (research),0
10019368.0,London College of Business Studies,2018/19,Postgraduate (taught),0
10019368.0,London College of Business Studies,2018/19,First degree,0
10019368.0,London College of Business Studies,2018/19,Other undergraduate,65
10019368.0,London College of Business Studies,2014/15,Postgraduate (research),0
10019368.0,London College of Business Studies,2014/15,Postgraduate (taught),0
10019368.0,London College of Business Studies,2014/15,First degree,0
10019368.0,London College of Business Studies,2014/15,Other undergraduate,755
10010308.0,Cambridge Arts and Sciences Limited,2020/21,Postgraduate (research),0
10010308.0,Cambridge Arts and Sciences Limited,2020/21,Postgraduate (taught),15
10010308.0,Cambridge Arts and Sciences Limited,2020/21,First degree,65
10010308.0,Cambridge Arts and Sciences Limited,2020/21,Other undergraduate,45
10010308.0,Cambridge Arts and Sciences Limited,2019/20,Postgraduate (research),0
10010308.0,Cambridge Arts and Sciences Limited,2019/20,Postgraduate (taught),15
10010308.0,Cambridge Arts and Sciences Limited,2019/20,First degree,70
10010308.0,Cambridge Arts and Sciences Limited,2019/20,Other undergraduate,100
10010308.0,Cambridge Arts and Sciences Limited,2018/19,Postgraduate (research),0
10010308.0,Cambridge Arts and Sciences Limited,2018/19,Postgraduate (taught),10
10010308.0,Cambridge Arts and Sciences Limited,2018/19,First degree,75
10010308.0,Cambridge Arts and Sciences Limited,2018/19,Other undergraduate,140
10010308.0,Cambridge Arts and Sciences Limited,2017/18,Postgraduate (research),0
10010308.0,Cambridge Arts and Sciences Limited,2017/18,Postgraduate (taught),10
10010308.0,Cambridge Arts and Sciences Limited,2017/18,First degree,65
10010308.0,Cambridge Arts and Sciences Limited,2017/18,Other undergraduate,115
10010308.0,Cambridge Arts and Sciences Limited,2016/17,Postgraduate (research),0
10010308.0,Cambridge Arts and Sciences Limited,2016/17,Postgraduate (taught),0
10010308.0,Cambridge Arts and Sciences Limited,2016/17,First degree,75
10010308.0,Cambridge Arts and Sciences Limited,2016/17,Other undergraduate,10
10010308.0,Cambridge Arts and Sciences Limited,2015/16,Postgraduate (research),0
10010308.0,Cambridge Arts and Sciences Limited,2015/16,Postgraduate (taught),0
10010308.0,Cambridge Arts and Sciences Limited,2015/16,First degree,65
10010308.0,Cambridge Arts and Sciences Limited,2015/16,Other undergraduate,10
10007788.0,The University of Cambridge,2020/21,Postgraduate (research),4765
10007788.0,The University of Cambridge,2020/21,Postgraduate (taught),3055
10007788.0,The University of Cambridge,2020/21,First degree,12750
10007788.0,The University of Cambridge,2020/21,Other undergraduate,300
10007788.0,The University of Cambridge,2019/20,Postgraduate (research),4775
10007788.0,The University of Cambridge,2019/20,Postgraduate (taught),3080
10007788.0,The University of Cambridge,2019/20,First degree,12325
10007788.0,The University of Cambridge,2019/20,Other undergraduate,200
10007788.0,The University of Cambridge,2018/19,Postgraduate (research),4740
10007788.0,The University of Cambridge,2018/19,Postgraduate (taught),2870
10007788.0,The University of Cambridge,2018/19,First degree,12065
10007788.0,The University of Cambridge,2018/19,Other undergraduate,200
10007788.0,The University of Cambridge,2017/18,Postgraduate (research),5065
10007788.0,The University of Cambridge,2017/18,Postgraduate (taught),2315
10007788.0,The University of Cambridge,2017/18,First degree,12005
10007788.0,The University of Cambridge,2017/18,Other undergraduate,190
10007788.0,The University of Cambridge,2016/17,Postgraduate (research),5170
10007788.0,The University of Cambridge,2016/17,Postgraduate (taught),2000
10007788.0,The University of Cambridge,2016/17,First degree,11845
10007788.0,The University of Cambridge,2016/17,Other undergraduate,180
10007788.0,The University of Cambridge,2015/16,Postgraduate (research),5285
10007788.0,The University of Cambridge,2015/16,Postgraduate (taught),1745
10007788.0,The University of Cambridge,2015/16,First degree,11740
10007788.0,The University of Cambridge,2015/16,Other undergraduate,170
10007788.0,The University of Cambridge,2014/15,Postgraduate (research),5245
10007788.0,The University of Cambridge,2014/15,Postgraduate (taught),1705
10007788.0,The University of Cambridge,2014/15,First degree,11725
10007788.0,The University of Cambridge,2014/15,Other undergraduate,195
10032072.0,The Cambridge Theological Federation,2020/21,Postgraduate (research),0
10032072.0,The Cambridge Theological Federation,2020/21,Postgraduate (taught),0
10032072.0,The Cambridge Theological Federation,2020/21,First degree,55
10032072.0,The Cambridge Theological Federation,2020/21,Other undergraduate,40
10032072.0,The Cambridge Theological Federation,2019/20,Postgraduate (research),0
10032072.0,The Cambridge Theological Federation,2019/20,Postgraduate (taught),0
10032072.0,The Cambridge Theological Federation,2019/20,First degree,55
10032072.0,The Cambridge Theological Federation,2019/20,Other undergraduate,45
10032072.0,The Cambridge Theological Federation,2018/19,Postgraduate (research),0
10032072.0,The Cambridge Theological Federation,2018/19,Postgraduate (taught),0
10032072.0,The Cambridge Theological Federation,2018/19,First degree,55
10032072.0,The Cambridge Theological Federation,2018/19,Other undergraduate,25
10032072.0,The Cambridge Theological Federation,2017/18,Postgraduate (research),0
10032072.0,The Cambridge Theological Federation,2017/18,Postgraduate (taught),0
10032072.0,The Cambridge Theological Federation,2017/18,First degree,50
10032072.0,The Cambridge Theological Federation,2017/18,Other undergraduate,85
10032072.0,The Cambridge Theological Federation,2016/17,Postgraduate (research),0
10032072.0,The Cambridge Theological Federation,2016/17,Postgraduate (taught),0
10032072.0,The Cambridge Theological Federation,2016/17,First degree,45
10032072.0,The Cambridge Theological Federation,2016/17,Other undergraduate,95
10032072.0,The Cambridge Theological Federation,2015/16,Postgraduate (research),0
10032072.0,The Cambridge Theological Federation,2015/16,Postgraduate (taught),0
10032072.0,The Cambridge Theological Federation,2015/16,First degree,30
10032072.0,The Cambridge Theological Federation,2015/16,Other undergraduate,90
10003324.0,The Institute of Cancer Research,2020/21,Postgraduate (research),160
10003324.0,The Institute of Cancer Research,2020/21,Postgraduate (taught),50
10003324.0,The Institute of Cancer Research,2020/21,First degree,0
10003324.0,The Institute of Cancer Research,2020/21,Other undergraduate,0
10003324.0,The Institute of Cancer Research,2019/20,Postgraduate (research),145
10003324.0,The Institute of Cancer Research,2019/20,Postgraduate (taught),50
10003324.0,The Institute of Cancer Research,2019/20,First degree,0
10003324.0,The Institute of Cancer Research,2019/20,Other undergraduate,0
10003324.0,The Institute of Cancer Research,2018/19,Postgraduate (research),145
10003324.0,The Institute of Cancer Research,2018/19,Postgraduate (taught),45
10003324.0,The Institute of Cancer Research,2018/19,First degree,0
10003324.0,The Institute of Cancer Research,2018/19,Other undergraduate,0
10003324.0,The Institute of Cancer Research,2017/18,Postgraduate (research),150
10003324.0,The Institute of Cancer Research,2017/18,Postgraduate (taught),50
10003324.0,The Institute of Cancer Research,2017/18,First degree,0
10003324.0,The Institute of Cancer Research,2017/18,Other undergraduate,0
10003324.0,The Institute of Cancer Research,2016/17,Postgraduate (research),145
10003324.0,The Institute of Cancer Research,2016/17,Postgraduate (taught),50
10003324.0,The Institute of Cancer Research,2016/17,First degree,0
10003324.0,The Institute of Cancer Research,2016/17,Other undergraduate,0
10003324.0,The Institute of Cancer Research,2015/16,Postgraduate (research),130
10003324.0,The Institute of Cancer Research,2015/16,Postgraduate (taught),45
10003324.0,The Institute of Cancer Research,2015/16,First degree,0
10003324.0,The Institute of Cancer Research,2015/16,Other undergraduate,0
10003324.0,The Institute of Cancer Research,2014/15,Postgraduate (research),120
10003324.0,The Institute of Cancer Research,2014/15,Postgraduate (taught),55
10003324.0,The Institute of Cancer Research,2014/15,First degree,0
10003324.0,The Institute of Cancer Research,2014/15,Other undergraduate,0
10001143.0,Canterbury Christ Church University,2020/21,Postgraduate (research),465
10001143.0,Canterbury Christ Church University,2020/21,Postgraduate (taught),1165
10001143.0,Canterbury Christ Church University,2020/21,First degree,9920
10001143.0,Canterbury Christ Church University,2020/21,Other undergraduate,940
10001143.0,Canterbury Christ Church University,2019/20,Postgraduate (research),465
10001143.0,Canterbury Christ Church University,2019/20,Postgraduate (taught),1010
10001143.0,Canterbury Christ Church University,2019/20,First degree,8660
10001143.0,Canterbury Christ Church University,2019/20,Other undergraduate,1030
10001143.0,Canterbury Christ Church University,2018/19,Postgraduate (research),445
10001143.0,Canterbury Christ Church University,2018/19,Postgraduate (taught),1080
10001143.0,Canterbury Christ Church University,2018/19,First degree,8845
10001143.0,Canterbury Christ Church University,2018/19,Other undergraduate,1025
10001143.0,Canterbury Christ Church University,2017/18,Postgraduate (research),425
10001143.0,Canterbury Christ Church University,2017/18,Postgraduate (taught),965
10001143.0,Canterbury Christ Church University,2017/18,First degree,9195
10001143.0,Canterbury Christ Church University,2017/18,Other undergraduate,1095
10001143.0,Canterbury Christ Church University,2016/17,Postgraduate (research),390
10001143.0,Canterbury Christ Church University,2016/17,Postgraduate (taught),990
10001143.0,Canterbury Christ Church University,2016/17,First degree,9360
10001143.0,Canterbury Christ Church University,2016/17,Other undergraduate,1255
10001143.0,Canterbury Christ Church University,2015/16,Postgraduate (research),345
10001143.0,Canterbury Christ Church University,2015/16,Postgraduate (taught),1000
10001143.0,Canterbury Christ Church University,2015/16,First degree,9705
10001143.0,Canterbury Christ Church University,2015/16,Other undergraduate,1400
10001143.0,Canterbury Christ Church University,2014/15,Postgraduate (research),310
10001143.0,Canterbury Christ Church University,2014/15,Postgraduate (taught),1055
10001143.0,Canterbury Christ Church University,2014/15,First degree,9580
10001143.0,Canterbury Christ Church University,2014/15,Other undergraduate,1360
10007814.0,Cardiff University,2020/21,Postgraduate (research),2240
10007814.0,Cardiff University,2020/21,Postgraduate (taught),5865
10007814.0,Cardiff University,2020/21,First degree,21070
10007814.0,Cardiff University,2020/21,Other undergraduate,580
10007814.0,Cardiff University,2019/20,Postgraduate (research),1880
10007814.0,Cardiff University,2019/20,Postgraduate (taught),5395
10007814.0,Cardiff University,2019/20,First degree,20035
10007814.0,Cardiff University,2019/20,Other undergraduate,960
10007814.0,Cardiff University,2018/19,Postgraduate (research),1855
10007814.0,Cardiff University,2018/19,Postgraduate (taught),4750
10007814.0,Cardiff University,2018/19,First degree,19805
10007814.0,Cardiff University,2018/19,Other undergraduate,1100
10007814.0,Cardiff University,2017/18,Postgraduate (research),1840
10007814.0,Cardiff University,2017/18,Postgraduate (taught),4470
10007814.0,Cardiff University,2017/18,First degree,19355
10007814.0,Cardiff University,2017/18,Other undergraduate,1070
10007814.0,Cardiff University,2016/17,Postgraduate (research),1800
10007814.0,Cardiff University,2016/17,Postgraduate (taught),4345
10007814.0,Cardiff University,2016/17,First degree,19135
10007814.0,Cardiff University,2016/17,Other undergraduate,740
10007814.0,Cardiff University,2015/16,Postgraduate (research),1580
10007814.0,Cardiff University,2015/16,Postgraduate (taught),3940
10007814.0,Cardiff University,2015/16,First degree,18190
10007814.0,Cardiff University,2015/16,Other undergraduate,855
10007814.0,Cardiff University,2014/15,Postgraduate (research),1460
10007814.0,Cardiff University,2014/15,Postgraduate (taught),4710
10007814.0,Cardiff University,2014/15,First degree,17540
10007814.0,Cardiff University,2014/15,Other undergraduate,880
10007854.0,Cardiff Metropolitan University,2020/21,Postgraduate (research),155
10007854.0,Cardiff Metropolitan University,2020/21,Postgraduate (taught),2145
10007854.0,Cardiff Metropolitan University,2020/21,First degree,7320
10007854.0,Cardiff Metropolitan University,2020/21,Other undergraduate,205
10007854.0,Cardiff Metropolitan University,2019/20,Postgraduate (research),160
10007854.0,Cardiff Metropolitan University,2019/20,Postgraduate (taught),1860
10007854.0,Cardiff Metropolitan University,2019/20,First degree,7225
10007854.0,Cardiff Metropolitan University,2019/20,Other undergraduate,200
10007854.0,Cardiff Metropolitan University,2018/19,Postgraduate (research),125
10007854.0,Cardiff Metropolitan University,2018/19,Postgraduate (taught),1520
10007854.0,Cardiff Metropolitan University,2018/19,First degree,7280
10007854.0,Cardiff Metropolitan University,2018/19,Other undergraduate,245
10007854.0,Cardiff Metropolitan University,2017/18,Postgraduate (research),150
10007854.0,Cardiff Metropolitan University,2017/18,Postgraduate (taught),1415
10007854.0,Cardiff Metropolitan University,2017/18,First degree,7350
10007854.0,Cardiff Metropolitan University,2017/18,Other undergraduate,255
10007854.0,Cardiff Metropolitan University,2016/17,Postgraduate (research),190
10007854.0,Cardiff Metropolitan University,2016/17,Postgraduate (taught),1190
10007854.0,Cardiff Metropolitan University,2016/17,First degree,7615
10007854.0,Cardiff Metropolitan University,2016/17,Other undergraduate,300
10007854.0,Cardiff Metropolitan University,2015/16,Postgraduate (research),315
10007854.0,Cardiff Metropolitan University,2015/16,Postgraduate (taught),1645
10007854.0,Cardiff Metropolitan University,2015/16,First degree,8115
10007854.0,Cardiff Metropolitan University,2015/16,Other undergraduate,265
10007854.0,Cardiff Metropolitan University,2014/15,Postgraduate (research),365
10007854.0,Cardiff Metropolitan University,2014/15,Postgraduate (taught),2835
10007854.0,Cardiff Metropolitan University,2014/15,First degree,8040
10007854.0,Cardiff Metropolitan University,2014/15,Other undergraduate,300
10057213.0,CEG UFP Limited,2020/21,Postgraduate (research),0
10057213.0,CEG UFP Limited,2020/21,Postgraduate (taught),0
10057213.0,CEG UFP Limited,2020/21,First degree,0
10057213.0,CEG UFP Limited,2020/21,Other undergraduate,430
10007141.0,The University of Central Lancashire,2020/21,Postgraduate (research),435
10007141.0,The University of Central Lancashire,2020/21,Postgraduate (taught),4545
10007141.0,The University of Central Lancashire,2020/21,First degree,16045
10007141.0,The University of Central Lancashire,2020/21,Other undergraduate,1140
10007141.0,The University of Central Lancashire,2019/20,Postgraduate (research),360
10007141.0,The University of Central Lancashire,2019/20,Postgraduate (taught),3490
10007141.0,The University of Central Lancashire,2019/20,First degree,15095
10007141.0,The University of Central Lancashire,2019/20,Other undergraduate,1085
10007141.0,The University of Central Lancashire,2018/19,Postgraduate (research),410
10007141.0,The University of Central Lancashire,2018/19,Postgraduate (taught),2380
10007141.0,The University of Central Lancashire,2018/19,First degree,14715
10007141.0,The University of Central Lancashire,2018/19,Other undergraduate,1140
10007141.0,The University of Central Lancashire,2017/18,Postgraduate (research),465
10007141.0,The University of Central Lancashire,2017/18,Postgraduate (taught),2150
10007141.0,The University of Central Lancashire,2017/18,First degree,14995
10007141.0,The University of Central Lancashire,2017/18,Other undergraduate,1075
10007141.0,The University of Central Lancashire,2016/17,Postgraduate (research),480
10007141.0,The University of Central Lancashire,2016/17,Postgraduate (taught),2100
10007141.0,The University of Central Lancashire,2016/17,First degree,16215
10007141.0,The University of Central Lancashire,2016/17,Other undergraduate,1305
10007141.0,The University of Central Lancashire,2015/16,Postgraduate (research),525
10007141.0,The University of Central Lancashire,2015/16,Postgraduate (taught),1775
10007141.0,The University of Central Lancashire,2015/16,First degree,16080
10007141.0,The University of Central Lancashire,2015/16,Other undergraduate,1495
10007141.0,The University of Central Lancashire,2014/15,Postgraduate (research),550
10007141.0,The University of Central Lancashire,2014/15,Postgraduate (taught),1800
10007141.0,The University of Central Lancashire,2014/15,First degree,15850
10007141.0,The University of Central Lancashire,2014/15,Other undergraduate,2040
10024024.0,Central Film School London,2020/21,Postgraduate (research),0
10024024.0,Central Film School London,2020/21,Postgraduate (taught),10
10024024.0,Central Film School London,2020/21,First degree,90
10024024.0,Central Film School London,2020/21,Other undergraduate,0
10024024.0,Central Film School London,2019/20,Postgraduate (research),0
10024024.0,Central Film School London,2019/20,Postgraduate (taught),15
10024024.0,Central Film School London,2019/20,First degree,85
10024024.0,Central Film School London,2019/20,Other undergraduate,0
10007848.0,University of Chester,2020/21,Postgraduate (research),300
10007848.0,University of Chester,2020/21,Postgraduate (taught),2335
10007848.0,University of Chester,2020/21,First degree,8225
10007848.0,University of Chester,2020/21,Other undergraduate,195
10007848.0,University of Chester,2019/20,Postgraduate (research),290
10007848.0,University of Chester,2019/20,Postgraduate (taught),1865
10007848.0,University of Chester,2019/20,First degree,8320
10007848.0,University of Chester,2019/20,Other undergraduate,220
10007848.0,University of Chester,2018/19,Postgraduate (research),255
10007848.0,University of Chester,2018/19,Postgraduate (taught),1680
10007848.0,University of Chester,2018/19,First degree,8870
10007848.0,University of Chester,2018/19,Other undergraduate,355
10007848.0,University of Chester,2017/18,Postgraduate (research),245
10007848.0,University of Chester,2017/18,Postgraduate (taught),1565
10007848.0,University of Chester,2017/18,First degree,9330
10007848.0,University of Chester,2017/18,Other undergraduate,520
10007848.0,University of Chester,2016/17,Postgraduate (research),250
10007848.0,University of Chester,2016/17,Postgraduate (taught),1455
10007848.0,University of Chester,2016/17,First degree,9150
10007848.0,University of Chester,2016/17,Other undergraduate,635
10007848.0,University of Chester,2015/16,Postgraduate (research),225
